,target,data,seq_len
2333,0,holm terrific men hjejle quite appealing film fails make intriguing premise,11
2334,0,'s audience could funnier innocent,5
2335,0,weaves spell disturbingly close up look damaged psyches subtle undercurrents danger awkward structure keeps breaking spell,16
2336,0,imponderably stilted self consciously arty movie,6
2337,0,several scenes tacky nonsense 'll wistful testosterone charged wizardry jerry bruckheimer productions especially half past dead like rock wal mart budget,21
2338,1,spellbinding african film modern condition rootlessness state experienced millions around globe,11
2339,1,asks truth discerned non firsthand experience specifically questions cinema 's capability recording truth,13
2340,1,illuminating overly talky documentary,4
2341,1,watching beanie gang put together slasher video spare parts borrowed materials much fun must make,15
2342,0,characters paper thin personalities undergo radical changes suits script,9
2343,1,indulgent slightly sunbaked summery mind sex lucia may well prove diverting enough,12
2344,1,entire movie truncated feeling 's available lovely lovable,8
2345,1,maintaining appearance clinical objectivity sad occasionally horrifying often inspiring film among wiseman 's warmest,14
2346,1,crush cars throw windows electrocute dismember victims full consciousness n't avert eyes moment,13
2347,0,enjoy movie 's sharp dialogue delightful performance jolie burns gloss sense ending,12
2348,1,though everything might literate smart never took always seemed static,10
2349,0,'men black ii creates new threat mib recycles premise,9
2350,1,alternately hilarious sad aggravating soulful scathing joyous 's masterpeice,9
2351,1,easily thoughtful fictional examination root causes anti semitism ever seen screen,11
2352,1,gently humorous touching,3
2353,1,director paxton surprisingly brilliant deftly sewing together could confusing horrifying vision intense engrossing head trip,15
2354,1,like mike winner kids doubt winner lil bow wow add movies list things well,14
2355,1,anyone welcomes dash avant garde fused humor take pleasure crazed joyous romp film,13
2356,1,soldiers hollywood makes valiant attempt tell story vietnam war pathology set,11
2357,0,analyze regurgitates waters many previous film 's successes new swings thrown,11
2358,0,roger michell notting hill directs morality thriller,7
2359,1,reggio 's continual visual barrage absorbing well thought provoking,9
2360,1,meant star wars fans give good time,7
2361,0,wraps classic mother daughter struggle recycled paper shiny new bow audience tell 's new least looks pretty,17
2362,0,genial conceit one rare pictures root throughout dearly hoping rich promise script realized screen never fully,16
2363,0,like many biographical melodramas suffers awkwardness results adhering messiness true stories,11
2364,1,though 's equally solipsistic tone movie enough vitality justify notion creating screen adaptation evans ' saga hollywood excess,18
2365,1,good performances realistic non exploitive approach make paid full worth seeing,11
2366,0,'s interested jerking byzantine incarnations bother pleasuring audience,8
2367,0,surely one frantic virulent foul natured christmas season pics ever delivered hollywood studio,13
2368,1,worth seeing weaver lapaglia,4
2369,0,rock 's stand up magic wanes hopkins squarely fills screen action mechanical,12
2370,1,symbolically warm water red bridge celebration feminine energy tribute power women heal,12
2371,1,villeneuve seems realize intuitively even morality reduced option ultimate mysteries life death,12
2372,0,pitch expectations time low could worse oddly cheerful particularly funny body switching farce,13
2373,0,tuxedo sent back tailor major alterations,6
2374,1,highly irritating first mr koury 's passive technique eventually begins yield interesting results,13
2375,1,film faithful one presumes book 's twin premises become backs parents idea age time fleeting precious commodity matter old,19
2376,1,thankfully goes easy reel real world dichotomy jaglom pursued enervating determination venice venice,13
2377,1,chilly brooding quietly resonant psychological study domestic tension unhappiness,9
2378,1,best american movie troubled teens since 1998 's whatever,9
2379,1,successes also tempered elements prove direct antithesis gets right,9
2380,0,serry fine job capturing climate times perhaps unwittingly relating happening america 2002 hard to believe plot twists force movie track final half hour,23
2381,0,makes 98 minutes feel like three hours,7
2382,0,second half film frei 's control loosens direct proportion amount screen time gives nachtwey self analysis,16
2383,1,obvious rapport actors striking style behind camera h l ne angel definitely director watch,14
2384,0,cockeyed shot way,3
2385,1,thoughtful unflinching examination alternative lifestyle sex strangers success,8
2386,1,spoof comedy carries share laughs sometimes chuckle sometimes guffaw great pleasure occasional belly laugh,14
2387,0,could something special two things drag mediocrity director clare peploe 's misunderstanding marivaux 's rhythms mira sorvino 's limitations classical actress,21
2388,1,roller coaster ride movie,4
2389,1,often shocking ultimately worthwhile exploration motherhood desperate mothers,8
2390,0,emotional overload female angst irreparably drags film,7
2391,0,bad movie happened good actors,5
2392,1,vitality actors keeps intensity film high even strafings blend together,10
2393,0,made realize really n't good cheesy b movie playing theaters since well since last week 's reign fire,18
2394,1,everywhere camera looks something worth seeing,6
2395,0,blade ii brilliant director charismatic star suffers rampant vampire devaluation,10
2396,0,sermonizing lifeless paean teenage dullards,5
2397,1,cube 's charisma chemistry compensate corniness cliche,7
2398,1,film darkly funny observation much grueling time consuming illusion work actual work,12
2399,0,film could possibly contemptuous single female population,7
2400,1,khouri manages terrific flair keep extremes screwball farce blood curdling family intensity one continuum,14
2401,1,special effects narrative flow much improved daniel radcliffe emotionally assertive time around harry film conjures magic author j k rowling 's books,22
2402,1,charmer belgium,2
2403,0,ultra low budget indie debut smacks good intentions talent,9
2404,0,historical dramas fused love triangle well worn conceit films lacks passion required sell material,14
2405,0,close two hours audience forced endure three terminally depressed mostly inarticulate hyper dysfunctional families price one,16
2406,1,infidelity drama nicely shot well edited features standout performance diane lane,11
2407,1,cynical serious look teenage boys best teenagers,7
2408,0,result however well intentioned ironically sort disposable kitchen sink homage illustrates whole often less sum parts today 's hollywood,19
2409,0,splashes drama screen subjecting audience characters action feels manufactured also false see filmmakers ' puppet strings,16
2410,1,two leads nearly perfect roles bring heart reality buoy film times elevate superior crime movie,15
2411,1,though jackson n't always succeed integrating characters foreground extraordinarily rich landscape must said imaginative filmmaker see forest trees,18
2412,1,'s energy y tu mam tambi n much comes brave uninhibited performances lead actors,14
2413,0,really need remake charade,4
2414,1,'s experience understanding unique culture presented universal appeal,8
2415,1,jacquot 's strategy allows cast benefit able give full performances demonstrating vividly beauty power opera reside primarily music,18
2416,1,submarine drama earns right favorably compared das boot,8
2417,0,roman polanski directs pianist like surgeon mends broken heart meticulously without passion,12
2418,0,monster combat thriller impersonal relentlessness videogame series inspired,8
2419,0,l ame unnecessary,3
2420,1,gorgeous epic guaranteed lift spirits whole family,7
2421,1,wiseman reveals victims domestic abuse pity terror,7
2422,0,spend 9 stuff get buck greasy little vidgame pit theater lobby,11
2423,1,mastering formidable arithmetic cameras souls group articulates flood emotion,9
2424,0,entry portal rules attraction spent movie feeling depressed shallow selfish greedy characters,12
2425,0,sometimes good reasons certain movies sealed jar left remote shelf indefinitely,11
2426,1,best enjoyed work fiction inspired real life events seeking definitive account eisenstein 's life would better elsewhere,17
2427,1,old world meets new mesh incarnated movie 's soundtrack joyful effusion disco bollywood end monsoon wedding sent spirit soaring theater,20
2428,1,could crisper punchier 's likely please audiences like movies demand four hankies,12
2429,1,may sound like mere disease of the week tv movie song martin made infinitely wrenching performances real life spouses seldahl wollter,21
2430,1,amazing incendiary movie dives straight rough waters contradiction,8
2431,0,jews catholics would catechism,4
2432,1,good actors radar juicy roles 's plethora characters picture one flat,11
2433,1,'s way effectively teach kids dangers drugs think 's projects like unfortunately r rated paid,15
2434,1,red dragon worthy place alongside hannibal movies hannibal would say yes 'it 's like old friend dinner ',18
2435,1,film sparkles wisdom humor subjects,5
2436,1,thoughtful look painful incident made headlines 1995,7
2437,1,serious movie goers embarking upon journey find road perdition leads satisfying destination,12
2438,0,one trick pony whose bits still ca n't save unoriginal unfunny unrecommendable,12
2439,1,poetic heartbreaking,2
2440,0,feels like six different movies fighting attention,7
2441,1,good ol ' urban legend stuff,6
2442,1,movie soft percolating magic deadpan suspense,6
2443,1,'s rare find film dazzles eye challenges brain satisfies lust fast paced action minority report delivers whole lot,18
2444,1,sundance film festival become buzz obsessed fans producers descend upon utah january ferret next great thing 'tadpole ' one films declared year 's really next pretty good thing,28
2445,0,'s harmless diverting fluff 's hard imagine generic effort genre,10
2446,1,n't know precisely make steven soderbergh 's full frontal though n't stop enjoying much,14
2447,0,film depress life,3
2448,1,stories work ones thin scattered film works well enough make worth watching,12
2449,0,ambitious guilt suffused melodrama crippled poor casting,7
2450,1,genius work speaks volumes offering hallucinatory dreamscape frustrates captivates,9
2451,1,searing epic treatment nationwide blight seems horrifyingly ever rise,9
2452,1,coy exhilarating really solid performances ving rhames wesley snipes,9
2453,0,'m sure worse poor acting ensemble cast flat dialogue vincent r nebrida gutless direction laurice guillen,16
2454,1,intoxicating experience,2
2455,0,morrissette performed difficult task indeed 's taken one world 's fascinating stories made dull lifeless irritating,16
2456,1,ending leave unfulfilled performances enjoy memorable ensemble piece,8
2457,0,n't really add much,4
2458,1,grainy photography mars otherwise delightful comedy errors,7
2459,1,tunney brimming coltish neurotic energy holds screen like true star,10
2460,0,choppy editing annoying score 'special effects ' way replacing objects character 's hands camera line besotted misbegotten,17
2461,1,depending upon reaction movie may never able look red felt sharpie pen without disgust thrill giggles,16
2462,1,demonstrates vivid imagination impressive style result terrific setpieces,8
2463,1,peter jackson company dazzle delight us fulfilling practically every expectation either longtime tolkien fan movie going neophyte could want,19
2464,0,though certainly original form altar boys requires taste swamp thing type animation doubled deafening score,15
2465,1,proves servicable world war ii drama ca n't totally hide contrivances least calls attention problem hollywood long ignored,18
2466,0,neither protagonist distinguishable condition hardly matters actory concoctions defined childlike dimness handful quirks,13
2467,0,kilted jackson unsettling sight indicative out of kilter character rambles aimlessly ill conceived action pieces,15
2468,1,wonderfully warm human drama remains vividly memory long viewing,9
2469,1,'s example sophisticated challenging filmmaking stands despite noticeable lack emotional heft welcome contrast indulgent dead end experimentation director 's previous full frontal,22
2470,1,almost everyone growing believes family must look like addams family everyone looking big fat greek wedding comes heart,18
2471,1,thoroughly entertaining comedy uses grant 's twist acidity prevent succumbing bathos,11
2472,1,maybe thomas wolfe right ca n't go home,8
2473,1,boomers kids barrie good time,5
2474,0,staggeringly dreadful romance,3
2475,0,morrissette 's script direction show fair amount intelligence wit n't signify whole lot either,14
2476,0,best drug addition movies usually depressing rewarding quitting however manages depressing lead actor phones autobiographical performance,16
2477,1,rarely movie movie go,4
2478,1,laughs aplenty bonus viewers n't worry subjected farts urine feces semen foul substances overrun modern day comedies,17
2479,0,howard co stars give committed performances 're often undone howard 's self conscious attempts find 'literary ' filmmaking style match subject,21
2480,1,jeffrey tambor 's performance intelligent jazz playing exterminator oscar worthy,10
2481,1,kind sweet and sour insider movie film buffs eat like much gelati,12
2482,0,collage clich s dim echo allusions films,7
2483,1,sentimental resolution explains way cal movie character good freundlich 's world traveler might one daring surprising american movies year,19
2484,1,suffers lack compelling comprehensible narrative still visual treat film almost unsurpassed,11
2485,1,el peso de un l quido incoloro el peso del l quido vital del amor como elemento de vida y de muerte,22
2486,0,disappointment love alternate versions bard particularly ones involve deep fryers hamburgers,11
2487,1,audiences conditioned getting weepy saucer eyed downy cheeked moppets empathetic caretakers probably feel emotionally cheated film 's tart sugar free wit,21
2488,1,end one word best describes film honest,7
2489,1,noyce worked wonders material,4
2490,0,movement yuks much anything,4
2491,1,delivers roughly equal amounts beautiful movement inside information,8
2492,1,richard gere diane lane put fine performances french actor oliver martinez,11
2493,1,well meaning movie stand future years eloquent memorial world trade center tragedy,12
2494,1,russian ark new treasure hermitage,5
2495,0,terrible movie people nevertheless find moving,6
2496,0,nothing new old story except show fisticuffs sort stop go slow motion makes gang rumbles look like 're streamed 28k modem,21
2497,1,one best films year exquisite acting inventive screenplay mesmerizing music many inimitable scenes tenderness loss discontent yearning,17
2498,1,young hanks fisk vaguely resemble celebrity parents bring fresh good looks ease front camera work,15
2499,1,buy accomplished actress big juicy role,6
2500,1,waiting godard fruitful 'in praise love ' director 's epitaph,10
2501,0,movie negligible work manipulation exploitation piece usual worst guilt trip parents,11
2502,0,exactly 89 minutes passed slowly 'd sitting naked igloo formula 51 sank quirky jerky utter turkey,16
2503,1,extraordinary film least japanese yet feels universal,7
2504,0,stinks start finish like wet burlap sack gloom,8
2505,1,matter time savvy producer saw potential success inherent mixture bullock bubble hugh goo,13
2506,1,film enthrall whole family,4
2507,0,story actually quite vapid,4
2508,1,lohman 's film performance moves heartbreak rebellion continually tries accommodate fit gain unconditional love seeks,15
2509,1,admire film harsh objectivity refusal seek tears sympathies,8
2510,1,campbell scott finds ideal outlet flick knife diction role roger swanson,11
2511,1,thoroughly engrossing ultimately tragic,4
2512,0,none characters resembles anyone 've ever met real life unless happen know annoyingly self involved people speak glib sentences could come pen screenwriter,23
2513,0,wo n't long 'll spy spy video store near,9
2514,1,questioning election process payami graphically illustrates problems fledgling democracies also strength sense freedom iranian people already possess without access ballot box,21
2515,0,muddled simplistic little pretentious,4
2516,1,brilliant work genre since 1984 uncut version sergio leone 's flawed staggering upon time america,15
2517,0,adored full monty resoundingly 're dying see old thing tired old setting keep reasonably entertained,15
2518,0,perplexed watch unfold astonishing lack passion uniqueness,7
2519,0,scared prospect beck 's next project let 's see haunted house haunted ship 's next ghost blimp,17
2520,1,pleasing often funny comedy,4
2521,0,script gags characters direct to video stuff 's film remained,10
2522,1,first bond movie ages n't fake fun,7
2523,1,coral reef adventure heavyweight film fights good fight behalf world 's endangered reefs lets pictures punching,16
2524,1,directed purpose finesse england 's roger mitchell handily makes move pleasing relatively lightweight commercial fare notting hill commercial fare real thematic heft,22
2525,0,chocolate factory without charlie,4
2526,1,director 's substantial feature time,5
2527,0,clockstoppers one crazy mixed up films n't know wants grows,10
2528,0,violent vulgar forgettably entertaining,4
2529,0,supremely unfunny unentertaining watch middle age older men drink excess piss trees b one another put show drag,18
2530,1,using endearing cast writer director dover kosashvili takes slightly dark look relationships sexual kindred,14
2531,0,due script weaknesses casting director 's brother film trails inconsequentiality,10
2532,1,proof epicenter cool beautiful thought provoking foreign cinema smack dab middle dubya 's axis evil,15
2533,0,meticulously mounted exasperatingly well behaved film ticks kahlo 's lifetime milestones dutiful precision tax accountant,15
2534,0,small independent film suffering severe case hollywood itis,8
2535,0,low rate annie featuring kid ca n't act echoes jordan weirdo actor crispin glover screwing things old school,18
2536,1,scherfig made movie leave wondering characters ' lives clever credits roll,11
2537,1,feel heat ignites gripping tale humor humanity root feeling,9
2538,0,'s quite tasteful look attention process tends little fleeing,9
2539,0,john heroic n't condone one film 's stars recently said tortuous comment perfectly illustrates picture 's moral schizophrenia,18
2540,1,diversity artists represented terms style ethnicity prevents proceedings feeling repetitious appropriately brief 40 minute running time,16
2541,1,high crimes knows mistakes bad movies make determined make maybe nobility sort,12
2542,1,raunchy frequently hilarious follow up gifted korean american stand up 's 'm one want,14
2543,1,film contrivance artificial video games japanese teens play nightclub sequence 's enjoyable one,13
2544,0,filmmakers juggle juxtapose three story lines fail come one cogent point unless 's life stinks especially sensitive married women really love women,22
2545,1,deliberative account lifestyle characterized surface obsession one typifies delirium post pre extant stardom,13
2546,1,movie sends theater feeling like 've actually spent time living another community,12
2547,1,movie understands like others depth breadth emotional intimacy give physical act meaning pleasure,13
2548,0,movie silly beyond comprehension even n't silly would still beyond comprehension,11
2549,0,pep talk faith hope charity little offend saccharine earnestness crime film 's producers would clink life,16
2550,0,n't bit early career director barry sonnenfeld homage 's lousy one,11
2551,0,forgettable good hearted movie,4
2552,1,really counts bloody sunday connects visceral level transcends language,9
2553,0,origin story well told characters disappoint anyone values original comic books 's action scenes things fall apart,17
2554,1,sex one films aims confuse,5
2555,1,colorful deceptively buoyant suddenly pulls rug burkinabe filmmaker dani kouyate 's reworking folk story whose roots go back 7th century oral traditions also pointed political allegory,26
2556,0,every animated film disney become classic forgive 've come expect studio 79 minute after school cartoon,16
2557,1,action adventure space based homage robert louis stevenson 's treasure island fires plasma conduits,14
2558,0,many improbabilities rose colored situations temper could 've impacting film,10
2559,1,plot amusingly contrived outlandish coincidences one could ever mistake anything resembling reality,12
2560,1,maker steven spielberg n't much fun two decades since schlepping indiana jones around globe search giant misplaced ashtray,18
2561,1,refreshingly realistic affectation free coming of age tale,8
2562,1,beresford nicely mixes much humor pathos take us sentimental journey heart really shame wo n't get opportunity embrace small sweet 'evelyn ',22
2563,1,offers big fat dumb laughs may make hate giving ah hell,11
2564,1,director claude chabrol become master innuendo see think see,9
2565,1,dense characters contains thrilling moments,5
2566,1,drama cube personal revelations regarding shop means big picture iconic characters gambol fluidly story charming results,16
2567,1,'ll keep wide awake tense,5
2568,1,joyous occasion,2
2569,0,competently directed terminally cute drama,5
2570,0,jackie chan movie 's movie happens jackie chan makes difference,10
2571,0,plays like old disease of the week small screen melodramas,10
2572,0,102 minute film aaliyah gets 20 minutes screen time viewers wish queen less damned,14
2573,1,good thriller,2
2574,0,movie notable observation long 've sitting still,7
2575,0,half assed film,3
2576,1,sheds light subject familiar makes care music may heard,9
2577,1,rapidly develops gut wrenching examination way cultural differences emotional expectations collide,11
2578,0,fear permeates whole stortelling todd solondz ' oftentimes funny yet ultimately cowardly autocritique,13
2579,0,premise ripe manner lunacy kaufman gondry rarely seem sure go,10
2580,0,another rent installment ian fleming estate,6
2581,1,brims passion words eccentric accident prone characters crazy things keep people going crazy life,14
2582,0,messy uncouth incomprehensible vicious absurd,5
2583,0,film 's trailer also looked like crap crap expecting,9
2584,0,something lost translation another routine hollywood frightfest slack execution italicizes absurdity premise,12
2585,0,'s bizarre curiosity memorable mainly way fritters away potentially interesting subject matter via banal script unimpressive acting indifferent direction,19
2586,0,hopelessly monotonous film year noteworthy gimmick filmed single unbroken 87 minute take,12
2587,0,sets animation back 30 years musicals back 40 years judaism back least 50,13
2588,0,movie tries ethereal ends seeming goofy,6
2589,1,unassuming pure heart ca n't help warmly extend arms yell 'safe ',12
2590,0,throws quirky characters odd situations off kilter dialogue us say look interesting movie film ultimately quite unengaging,17
2591,0,movies like high crimes flog dead horse surprise obligation surprising us trying something new,14
2592,1,birthday girl amusing joy ride surprisingly violent moments,8
2593,0,every time look sweet home alabama taking another bummer wrong turn,11
2594,0,weighty themes grave youngsters story steeped fairy tales childish things appeal much teenagers,13
2595,1,rare documentary incorporates much human experience drama conflict tears surprise transcends normal divisions fiction nonfiction film,16
2596,0,rifkin doubt fancies something hubert selby jr n't ounce honest poetry entire script 's simply crude unrelentingly exploitative,18
2597,0,distinctly sub par likely drown viewer boredom send shivers spine,10
2598,1,cast uniformly excellent relaxed,4
2599,0,one key problem ardently christian storylines never question things turn,10
2600,1,gosling 's combination explosive physical energy convincing intelligence helps create complex unpredictable character,13
2601,0,action clich s pile,4
2602,0,'s badly acted blandly directed could scripted someone graduated elementary school,11
2603,1,like quirky odd movies and or ironic 's fun one,10
2604,1,westbrook makes wonderful subject camera,5
2605,0,rarely much money delivered little entertainment,6
2606,1,wickedly funny visually engrossing never boring movie challenges us think ways consume pop culture,14
2607,0,waterlogged version 'fatal attraction ' teeny bopper set sad soggy potboiler wastes talents attractive young leads,16
2608,1,'re like sucker good old fashion romance someone shamelessly loves eat mostly martha offers perfect ingredients satisfy appetite,18
2609,1,promises one film 's truly deserving oscar nomination,8
2610,0,lisa rinzler 's cinematography may lovely love liza 's tale virtually collapses inhalant blackout maintaining consciousness long enough achieve callow pretension,21
2611,1,'s day beach air conditioning popcorn,6
2612,1,denis forges theories class based rage sisterly obsession razor sided tuning fork rings cultural sexual social discord,17
2613,1,body take places n't also places,6
2614,0,latest installment pokemon canon pokemon 4ever surprising less moldy trite last two likely much japanese anime set scenic forest pokemon graze peace,22
2615,0,downbeat period perfect biopic hammers home heavy handed moralistic message,10
2616,1,succeeds well made evocation subculture,5
2617,0,uneven mix dark satire childhood awakening,6
2618,1,although includes fair share dumb drug jokes predictable slapstick orange county far funnier would seem right,16
2619,1,difference cho comics confidence material merited,6
2620,0,'s underwritten ca n't figure characters including ana 's father grandfather come issue ana 's future,16
2621,1,'s familiar story one presented great sympathy intelligence,8
2622,0,hugh grant 's act consuming sometimes 's difficult tell actors movie,11
2623,0,rosenthal halloween ii seems forgotten everything ever knew generating suspense,10
2624,1,one herzog 's least inspired works,6
2625,1,'s brave attempt tap heartbeat world salute universal language rhythm zippy sampling sounds,13
2626,0,strident inelegant 'message movie ' posturing,6
2627,1,wonder mostly martha performance gedeck makes martha enormously endearing,9
2628,1,crisp psychological drama fascinating little thriller would perfect old twilight zone episode,12
2629,0,problem rather dramatizing premise mr desplechin content state,8
2630,1,may last tango paris,4
2631,1,captures perverse element kafkaesque identity overnight robbed replaced persecuted,9
2632,1,'s weird wonderful necessarily kids,5
2633,1,contando com uma premissa curiosa o filme mergulha o espectador em um clima de forte suspense culminando em um desfecho que certamente fica na mem ria,26
2634,1,'s fun code talk fly right everyone 's head,9
2635,0,uncertain tone garbled exercise sexual politics junior varsity short cuts way bad things,13
2636,0,idea white man arriving foreign shores show wary natives true light abhorrent simplistic heaven quite likely like hell,18
2637,0,'s original robbed element surprise n't huge laughs story irresponsible cops love play pranks,14
2638,0,surprises,1
2639,1,throwing caution wind invitation hedonist us nair constructed motion picture way even cynical curmudgeon find smiling one time another,19
2640,0,'s tough startled 're almost dozing,6
2641,0,film confusing melange tones styles one moment romantic trifle next turgid drama,12
2642,0,unsuccessful attempt movie ideas,4
2643,0,matter firmly director john stainton tongue cheek fact remains wacky concept movie make,13
2644,0,handled correctly wilde 's play masterpiece elegant wit artifice alas collapses like overcooked souffl,14
2645,1,genuine mind bender,3
2646,1,en s mismo el rey le n es un espect culo digno de contemplarse en cine dvd o en su soberbio montaje teatral pero el hacerlo en la pantalla imax es una experiencia colosal,34
2647,0,textbook lives quiet desperation,4
2648,0,jokes flat action looks fake,5
2649,1,'s made deftly unsettling genre flair,6
2650,0,mushes college friends genre big chill together contrivances overwrought emotion soap operas,12
2651,1,like great documentaries goes one truth ford administration 's complicity tearing 'orphans ' mothers stumbles upon others even compelling,19
2652,0,might first sci fi comedy could benefit three 's company style laugh track,13
2653,1,'re right b movie frame mind may scare pants,9
2654,0,'ve never seen remake anything stomach turning way adam sandler 's new movie rapes pillages incinerates frank capra 's classic,20
2655,1,watching film one left inescapable conclusion hitchens ' obsession kissinger bottom sophisticated flower child 's desire purge world tooth claw human power,22
2656,0,mckay seems embarrassed invention tries rush intermediary passages apparently hoping audience notice glaring triteness plot device put service,18
2657,1,may spoofing easy target old '50 's giant creature features acknowledges celebrates cheesiness reason people get kick watching today,19
2658,1,miyazaki 's nonstop images stunning imagination vivid possible complaint could spirited away rest period timeout,15
2659,0,see robin williams psycho killer think hmmmmm see movie think zzzzzzzzz,11
2660,0,would work much better one hour tv documentary,8
2661,0,could easily mistake sketchy work in progress inexplicably rushed megaplexes time,11
2662,1,something meditative lyrical babak payami 's boldly quirky iranian drama secret ballot charming evoking little ditty manages show gentle humane side middle eastern world politics,25
2663,1,walked away new version e hoped would moist eyes,9
2664,0,denis o'neill 's script avoids prime sports cliche last second goal win championship neglects others,15
2665,1,even drags forced reflect visual imagination breathtaking,7
2666,0,'s inoffensive cheerful built inspire young people set unending soundtrack beach party pop numbers aside remarkable camerawork awesome scenery 's exciting sunburn,22
2667,1,sincere exploit subjects honest manipulate audience,6
2668,1,brilliantly written well acted yellow asphalt uncompromising film,8
2669,0,call cold hearted curmudgeon able enjoy mindless action movie believe movie mindless without peak things insipid,16
2670,0,kiddie oriented stinker bad even caught gum stuck seat trying sneak theater,12
2671,1,mama africa pretty much delivers promise give peek main problem 's peek,12
2672,1,though controversial korean filmmaker 's latest effort tastes offers gorgeous imagery effective performances increasingly unsettling sense foreboding,17
2673,1,film truly rescue funk brothers motown 's shadows 's time,10
2674,1,even digressions funny,3
2675,1,'s unsettling images war ravaged land prove potent riveting unlikely story sarah harrison,13
2676,1,sexy surprising romance idemoto kim make gorgeous pair scenes brim sexual possibility emotional danger,14
2677,0,time favor could given audiences time day concentrating elements revealing alienation among culture people sadly hostile odds one another recklessness retaliation,21
2678,0,'s decent glimpse time period outcast longer accessible n't necessarily shed light subject popular predecessor,15
2679,0,sheridan smoothes sources conflict could lent film bit depth,9
2680,0,script mainstream psychology textbook intrigue,5
2681,1,movie reminds us exciting satisfying fantasy cinema 's approached imagination flair,11
2682,1,best indie year far,4
2683,0,begins seemingly brainless bubbly romantic comedy becomes cliche drenched melodrama mid film film 's end feminist action fantasy,18
2684,1,using stock plot boy injects enough freshness proceedings provide enjoyable 100 minutes movie theater,14
2685,0,n't find much fascination swinging 're matter plumbing arrangements mind games erotic sensuous charge thought provoking,16
2686,0,movie n't painfully bad something 'fully experienced ' 's tediously bad something fully forgotten,14
2687,1,lively account seinfeld deadpan,4
2688,0,plodding look french revolution eyes aristocrats,6
2689,1,devos delivers perfect performance captures innocence budding demons within wallflower,10
2690,0,movie feel like non stop cry attention attempt kind satisfying entertainment,11
2691,1,moore 's better fingering problems finding solutions though scratches surface least provides strong itch explore,15
2692,0,'s kind sad many people put much time energy turkey,10
2693,0,nobody seems cared much aspect cheesy screenplay grayish quality lighting last minute haphazard theatrical release,15
2694,0,train wreck action film stupefying attempt filmmakers force feed james bond mindless xxx mold throw 40 years cinematic history toilet favor bright flashes loud bangs,25
2695,1,'s sweet 's funny wears heart sleeve gaudy hawaiian shirt thanks presence 'the king ' also rocks,17
2696,0,lets love depraved leads meet denis ' story becomes hopeless unsatisfying muddle,12
2697,0,hollywood ending disappointing woody allen movie ever great cast great idea execution flop exception six gags really work,18
2698,0,movie something impostor stretching padding material blur dead ends distracting camera work,12
2699,0,make documentary marginal historical figures would n't one famous dad author death venice etc valuable,15
2700,0,angst ridden territory covered earlier much better ordinary people,9
2701,0,david letterman onion proven worst tragedies fertile sources humor lawrence fleeting grasp develop,13
2702,1,noyce films shocking history lesson drama,6
2703,0,quite frankly ca n't see actor talent would ever work mcculloch production looked movie turned,15
2704,1,pacino best 's years keener marvelous,6
2705,1,apesar de seus graves problemas o filme consegue entreter,9
2706,1,compelling yarn quite ripping one,5
2707,0,director chris eyre going paces usual high melodramatic style filmmaking,10
2708,1,may seriously impair ability ever maintain straight face speaking highway patrolman,11
2709,0,lot talent wasted crass low wattage endeavor,7
2710,1,building slowly subtly film sporting breezy spontaneity realistically drawn characterizations develops significant character study moving wise,16
2711,1,masterful film master filmmaker unique deceptive grimness compelling fatalist worldview,10
2712,1,gem movie,2
2713,1,ali 's graduation little screen big far less painful opening scene encounter over amorous terrier,15
2714,0,lyne 's latest erotic thriller unfaithful demonstrates far storytelling skills eroded,11
2715,0,movie barely makes sense unbelievable na vet arbitrary flashbacks,9
2716,1,peppered witty dialogue inventive moments,5
2717,0,disappointing comparison recent war movies or john woo flick matter,10
2718,0,film weighed supporting characters either goodly wise knowing downright comically evil,11
2719,1,neatly constructed thriller,3
2720,0,irwin man enough charisma audacity carry dozen films particular result ultimately held back something greater,15
2721,1,movie ingenious fun see,4
2722,0,'s mistaking fact hybrid misses impact disney classic even excellent 1934 mgm version,13
2723,0,'s fitfully funny never really takes,6
2724,1,understands generation defines music much music defines generation,8
2725,1,making tragedy backdrop love story risks trivializing though chouraqui doubt intended film affirm love 's power help people endure almost unimaginable horror,22
2726,1,structure simple way rabbit proof fence quest story grand lord rings,11
2727,0,story lacking real emotional impact plot contrived cliched,8
2728,1,vividly conveys passion creativity fearlessness one mexico 's colorful controversial artists captivating drama speak nonconformist us,16
2729,0,believability n't one film 's virtues,6
2730,0,action quickly sinks by the numbers territory,7
2731,0,synthesis cliches absurdities seems positively decadent cinematic flash emptiness,9
2732,1,sounds sick twisted miracle shainberg 's film truly romance,9
2733,0,movie little offer besides unintentional laughs,6
2734,0,elegantly crafted often anderson 's movie essentially one trick pony hampered undeveloped script ultimately pulls lame,16
2735,0,even finest chef ca n't make hotdog anything hotdog robert de niro ca n't make movie anything trashy cop buddy comedy,21
2736,0,basically static series semi improvised semi coherent raps stars,9
2737,1,visually captivating,2
2738,0,exaggerated broad comes annoying rather charming,6
2739,1,though never rises full potential film still offers great deal insight female condition timeless danger emotions repressed,17
2740,0,uzumaki 's interesting social parallel defiant aesthetic seems prostituted muse,10
2741,0,awful lot like one spears ' music videos content except goes least 90 minutes worse pay want see,18
2742,0,credibility sinks mire sentiment,4
2743,0,'s best avoid imprisonment dull nerdy folks inhabit cherish,9
2744,0,parker updates setting attempt make film relevant today without fully understanding made story relevant first place,16
